(236, 165, 56, 255)	1	165.74	0.0	165.74	165.74
(236, 170, 68, 255)	1	165.53	0.0	165.53	165.53
(238, 175, 77, 255)	1	165.13	0.0	165.13	165.13
(235, 165, 59, 255)	1	165.53	0.0	165.53	165.53
(234, 160, 48, 255)	1	165.74	0.0	165.74	165.74
(233, 156, 40, 255)	1	165.95	0.0	165.95	165.95
(232, 153, 37, 255)	1	166.93	0.0	166.93	166.93
(233, 157, 43, 255)	1	166.72	0.0	166.72	166.72
(235, 163, 56, 255)	1	166.51	0.0	166.51	166.51
(235, 169, 66, 255)	1	166.31	0.0	166.31	166.31
(237, 173, 73, 255)	1	166.11	0.0	166.11	166.11
(237, 174, 75, 255)	1	165.92	0.0	165.92	165.92
(236, 169, 66, 255)	1	166.11	0.0	166.11	166.11
(234, 165, 58, 255)	1	166.31	0.0	166.31	166.31
(233, 159, 47, 255)	1	166.51	0.0	166.51	166.51
(233, 154, 38, 255)	1	166.72	0.0	166.72	166.72
(232, 150, 35, 255)	28	170.94	2.43	169.54	171.98
(232, 154, 41, 255)	1	167.49	0.0	167.49	167.49
(233, 160, 51, 255)	1	167.29	0.0	167.29	167.29
(235, 167, 62, 255)	1	167.09	0.0	167.09	167.09
(236, 171, 71, 255)	1	166.9	0.0	166.9	166.9
(237, 175, 79, 255)	1	166.54	0.0	166.54	166.54
(236, 172, 72, 255)	1	166.72	0.0	166.72	166.72
(236, 168, 63, 255)	1	166.9	0.0	166.9	166.9
(234, 162, 55, 255)	2	167.49	0.79	167.09	167.89
(232, 157, 45, 255)	1	167.29	0.0	167.29	167.29
(232, 153, 38, 255)	3	168.42	2.01	167.49	169.5
(233, 156, 45, 255)	3	169.59	2.62	168.07	170.7
(235, 166, 64, 255)	1	167.71	0.0	167.71	167.71
(236, 171, 72, 255)	1	167.53	0.0	167.53	167.53
(236, 172, 73, 255)	1	167.36	0.0	167.36	167.36
(236, 168, 65, 255)	1	167.53	0.0	167.53	167.53
(234, 163, 56, 255)	1	167.71	0.0	167.71	167.71
(233, 158, 48, 255)	1	167.89	0.0	167.89	167.89
(232, 154, 40, 255)	1	168.07	0.0	168.07	168.07
(232, 152, 37, 255)	2	168.57	0.6	168.27	168.87
(232, 153, 39, 255)	2	169.51	1.29	168.87	170.16
